asset_id,asset_name,travel_seconds,travel_time_str,stopped_seconds,stopped_time_str,proyecto,ec,fecha_procesamiento
281474995537654,1877,27685,7:41:25,57707,16:01:47,Mabe Componentes,EC-10,2026-02-20
281474995572966,1907,0,0:00:00,99120,"1 day, 3:32:00",Sayer Sencillo,EC-04,2026-02-20
281474995573145,1849,49891,13:51:31,28798,7:59:58,Conductores,EC-10,2026-02-20
281474995575823,1860,63380,17:36:20,14885,4:08:05,Circuitos,EC-03,2026-02-20
281474995637646,1852,35323,9:48:43,45906,12:45:06,Mabe Bundy,EC-10,2026-02-20
281474995690099,1906,12177,3:22:57,86937,"1 day, 0:08:57",Circuitos,EC-03,2026-02-20
281474995784118,1933,0,0:00:00,99120,"1 day, 3:32:00",Circuitos,EC-03,2026-02-20
281474995795853,1892,39308,10:55:08,25097,6:58:17,Pilgrims Tepo,EC-02,2026-02-20
281474995803673,1878,60128,16:42:08,0,0:00:00,Circuitos,EC-03,2026-02-20
281474995843716,1875,15294,4:14:54,79003,21:56:43,Circuitos,EC-03,2026-02-20
281474995864155,1955,0,0:00:00,99120,"1 day, 3:32:00",Circuitos,EC-03,2026-02-20
281474995920010,DC03,8620,2:23:40,42721,11:52:01,Mabe,EC-10,2026-02-20
281474995920024,DC04,13401,3:43:21,25247,7:00:47,Mabe,EC-10,2026-02-20
281474995920032,DC08,17945,4:59:05,22716,6:18:36,Mabe,EC-10,2026-02-20
281474995920039,1778,28741,7:59:01,55935,15:32:15,Sayer Pipas,EC-04,2026-02-20
281474995920264,1970,40235,11:10:35,35777,9:56:17,Pilgrims Tepo,EC-02,2026-02-20
281474995920274,1806,0,0:00:00,99120,"1 day, 3:32:00",Walmart Full SC,EC-08,2026-02-20
281474995920283,1897,74720,20:45:20,12297,3:24:57,Liverpool Full,EC-01,2026-02-20
281474995920289,1871,0,0:00:00,99120,"1 day, 3:32:00",Patieros Sucursal,EC-03,2026-02-20
281474995920315,1903,27818,7:43:38,41317,11:28:37,Protans,EC-04,2026-02-20
281474995920323,1853,10464,2:54:24,78744,21:52:24,Protans,EC-04,2026-02-20
281474995920333,2152,23514,6:31:54,50220,13:57:00,Walmart Full,EC-08,2026-02-20
281474995920345,DAÑADO FNN,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474995920356,1939,17961,4:59:21,69229,19:13:49,MeLi Dedicado SD,EC-05,2026-02-20
281474995920360,1850,36573,10:09:33,39272,10:54:32,Pipas,EC-02,2026-02-20
281474995920428,1828,42560,11:49:20,27289,7:34:49,Circuitos,EC-03,2026-02-20
281474995920438,1847,28233,7:50:33,56817,15:46:57,Mabe Componentes,EC-10,2026-02-20
281474995920449,1752,46353,12:52:33,12885,3:34:45,Liverpool Local,EC-01,2026-02-20
281474995920458,1827,12753,3:32:33,70321,19:32:01,Walmart Full SC,EC-08,2026-02-20
281474995920466,1929,14720,4:05:20,48464,13:27:44,Crisa,EC-10,2026-02-20
281474995920473,1831,28026,7:47:06,52465,14:34:25,Mabe Componentes,EC-10,2026-02-20
281474995920484,1870,40097,11:08:17,50518,14:01:58,Conductores,EC-10,2026-02-20
281474995920491,1966,44343,12:19:03,41860,11:37:40,Conductores,EC-10,2026-02-20
281474995920509,1968,16806,4:40:06,71314,19:48:34,Sayer Sencillo,EC-04,2026-02-20
281474995920514,1882,0,0:00:00,99120,"1 day, 3:32:00",Pasa,EC-02,2026-02-20
281474996015420,1865,49032,13:37:12,25964,7:12:44,Circuitos,EC-03,2026-02-20
281474996240609,1879,0,0:00:00,99120,"1 day, 3:32:00",Circuitos,EC-03,2026-02-20
281474996586544,DAÑADO UBX,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
